channel_id,channel_name,category,subscribers,total_views,total_videos,recent_video_count,avg_recent_views,median_recent_views,avg_duration_seconds,posting_interval_days,avg_engagement_rate,view_per_subscriber,latest_video_id,latest_video_title,latest_video_url,latest_video_views,latest_video_published
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,Entertainment,458000000,105764197272,933,10,108201258.2,99334562,419.7,3.11,0.0208,230.93,7aE4EhHXzlA,I Paid Everyone Stuck in Traffic,https://www.youtube.com/watch?v=7aE4EhHXzlA,51461831,2025-12-26T17:00:05.000Z
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,Music,308000000,325337604884,25093,10,32311.7,21527.5,462.4,0.11,0.0337,1056.29,H8awaqkAgSE,"CHANDNI 8K Full Song: Sachet Tandon, Parampara Tandon | B Praak, Jaani | Bhushan K",https://www.youtube.com/watch?v=H8awaqkAgSE,26028,2026-01-01T11:56:07.000Z
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,Kids,199000000,214618764678,1855,10,1147373.9,1399587,442.9,0.8,0.0068,1078.49,61cH5RhLjzY,Rainbow Ring Stacking Challenge! 🔴🟠🟡🟢🔵🟣,https://www.youtube.com/watch?v=61cH5RhLjzY,138407,2026-01-01T12:00:11.000Z
UCpEhnqL0y41EpW2TvWAHD7Q,SET India,TV,188000000,184727861049,164222,10,2812.3,252.5,2233,0,0.0171,982.6,gJHBbK_KNYA,क्यों Team CID के लिए Juhi और Preety की गुमशुदगी बनी एक रहस्य? | CID | Full Episode,https://www.youtube.com/watch?v=gJHBbK_KNYA,,2026-01-01T15:45:05.000Z
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,Kids,148000000,116806165449,980,10,4585731.8,3267425.5,1700.5,3.56,0.0023,789.23,ZzlK-R5Graw,Dinosaur Rescue Adventure and other funny stories for kids,https://www.youtube.com/watch?v=ZzlK-R5Graw,899255,2025-12-31T10:01:06.000Z
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,Kids,138000000,121618279639,1513,10,669774.2,524105.5,1025.7,1.11,0.0046,881.29,T7if5vtHnLE,Kids Help Santa with Polar Bears 🐻‍❄️,https://www.youtube.com/watch?v=T7if5vtHnLE,173485,2025-12-31T11:30:24.000Z
UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,Sports,112000000,100936249362,90111,10,143440.5,114549.5,796.4,0.11,0.0375,901.22,6ZbfYblVF3U,"FULL MATCH: Becky Lynch vs. Nia Jax: Raw Day 1, 2024",https://www.youtube.com/watch?v=6ZbfYblVF3U,14393,2026-01-01T14:00:15.000Z
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,Gaming,110000000,29448607108,4654,10,2821468.7,2157586.5,1732.9,17.45,0.0598,267.71,6jYcjNbvqh4,CLOSING A CHAPTER,https://www.youtube.com/watch?v=6jYcjNbvqh4,1636330,2025-12-22T16:15:00.000Z
UCffDXn7ycAzwL2LDlbyWOTw,Canal KondZilla,Music,68000000,40011737778,3466,10,116242.7,23834,113.9,2.82,0.0132,588.41,aFXUylBDTYY,Só prosperidade e fé 🙏🏽🎶 “Beat Que Te Deixa Alerta” em todas as plataformas digitais. 🫵🏽▶️,https://www.youtube.com/watch?v=aFXUylBDTYY,14830,2025-12-24T23:51:59.000Z
UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,Trending,32400000,10630624444,8662,10,1520095.8,112499.5,46,0.72,0.0336,328.11,eAIaQlsMcxA,me to all your spoilers #StrangerThings5,https://www.youtube.com/watch?v=eAIaQlsMcxA,25109,2026-01-01T13:01:11.000Z
UCKqH_9mk1waLgBiL2vT5b9g,VanossGaming,Trending,26000000,16746085856,2179,10,551156.2,488820,1279.7,2.26,0.0463,644.08,KzVLFSCJPFs,BO3 Zombies - Whoever Made This Map Was On Drugs!,https://www.youtube.com/watch?v=KzVLFSCJPFs,260847,2026-01-01T01:30:17.000Z
UCke6I9N4KfC968-yRcd5YRg,SSundee,Trending,25200000,16807962390,3630,10,564816.6,573385,1124.8,1.44,0.0281,666.98,On1IZjZC_-8,I Added The Pennywise Clown Mod in Among Us,https://www.youtube.com/watch?v=On1IZjZC_-8,358957,2025-12-31T22:00:23.000Z
UCKy1dAqELo0zrOtPkf0eTMw,IGN,Trending,19600000,20750731403,176852,10,56002.3,45113.5,355.9,0.11,0.0246,1058.71,Oqr4cEmCDBY,Ranger's Path: National Park Simulator - Official Mission Trailer,https://www.youtube.com/watch?v=Oqr4cEmCDBY,54597,2025-12-31T20:45:54.000Z
UCq6VFHwMzcMXbuKyG7SQYIg,penguinz0,Trending,17600000,12560689690,6778,10,1008571.7,994170.5,2955.7,0.38,0.0507,713.68,GxNwOjCjgNs,New Year's Eve Ball Drop Diaper Madness,https://www.youtube.com/watch?v=GxNwOjCjgNs,590254,2026-01-01T03:00:22.000Z
UCxsk7hqE_CwZWGEJEkGanbA,KreekCraft,Trending,16000000,6473346486,6482,10,1094496.9,884946,5402.3,0.26,0.0203,404.58,zew7ONv2DF4,GREAT MEME RESET COUNTDOWN,https://www.youtube.com/watch?v=zew7ONv2DF4,368822,2026-01-01T06:16:11.000Z
