channel_id,channel_name,category,subscribers,total_views,total_videos,recent_video_count,avg_recent_views,median_recent_views,avg_duration_seconds,posting_interval_days,avg_engagement_rate,view_per_subscriber,latest_video_title,latest_video_url,latest_video_views,latest_video_published_at
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,Entertainment,454000000,102969039827,928,8,49070025.75,42713815.0,375.38,2.14,0.0228,226.8041,How Many People to Pull a Plane?,https://www.youtube.com/watch?v=U-x6KxH1kB4,20156908,2025-12-06T19:55:52+00:00
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,Music,308000000,322559969179,24944,8,25045.62,15038.0,139.75,0.03,0.0405,1047.2726,"Tu Pehli Tu Aakhri (Full Video) Aryan|Shashwat,Arijit,Kumaar|Lakshya,Sahher|The Ba***ds Of Bollywood",https://www.youtube.com/watch?v=2pWyTXONC6s,6210,2025-12-10T12:31:37+00:00
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,Kids,199000000,212476018350,1826,8,772940.75,650402.5,107.0,0.74,0.0075,1067.7187,Count the Beach Toys! 1🔴2🟡3🔵4🟢 Learn Colors,https://www.youtube.com/watch?v=sxP9XyK3zbo,79682,2025-12-10T12:01:54+00:00
UCpEhnqL0y41EpW2TvWAHD7Q,SET India,TV,188000000,184126445484,163150,8,1736.25,680.0,1667.12,0.03,0.012,979.396,'Kay Sera Sera' पर Manasi-Srijan के Duo ने कर दिया कमाल | Indian Idol S15 | Party All Night,https://www.youtube.com/watch?v=X1t2A77CMLQ,3,2025-12-10T13:45:03+00:00
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,Kids,148000000,115772217045,974,8,3557433.62,3403643.5,1321.25,2.43,0.0031,782.2447,Kids learn the importance of healthy food,https://www.youtube.com/watch?v=yAwJ3vRieUY,2658093,2025-12-06T10:01:43+00:00
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,Kids,137000000,121116831236,1495,8,478165.0,493904.5,991.0,1.13,0.0057,884.0645,Kids Pretend to Be Babies for 24 Hours,https://www.youtube.com/watch?v=juS5R6cStTE,18633,2025-12-10T11:30:55+00:00
UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,Sports,111000000,100312667180,89671,8,119833.12,93278.0,229.38,0.06,0.0447,903.7177,John Cena talking about his dad had us all emotional 🥹,https://www.youtube.com/watch?v=McE7I4wsrWQ,11062,2025-12-10T13:00:49+00:00
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,Gaming,110000000,29441167274,4653,8,2977708.12,2564892.0,1680.5,17.57,0.0623,267.647,Everything is different..,https://www.youtube.com/watch?v=gV_AnL2o3D0,1402139,2025-11-27T17:01:27+00:00
UCffDXn7ycAzwL2LDlbyWOTw,Canal KondZilla,Music,68000000,39945328219,3460,8,18374.25,11083.0,99.62,1.68,0.0148,587.4313,TÁ NA PISTA! 🤘🏾🔥 Assista agora “Se Ex Fosse Boa (Guns N Funk)”. 🫵🏽▶️,https://www.youtube.com/watch?v=Rb-7QzpmEak,5764,2025-12-08T15:53:45+00:00
UC_A7K2dXFsTMAciGmnNxy-Q,Saregama Music,Trending,59700000,30386579307,10348,8,4461147.0,86791.0,533.62,1.04,0.0249,508.9879,"Dhurandhar - Extended Album | Ranveer Singh, Shashwat Sachdev, Akshaye, Sanjay, R. Madhavan, Arjun",https://www.youtube.com/watch?v=7kJ6kQznl20,38216,2025-12-10T10:30:06+00:00
